59;2205;424,329;"56.8813665429,53.1921204257;56.8816279018,53.1893952964;56.8818422883,53.1873621394;56.8819010382,53.1868525252;56.8818922527,53.1865252689;56.8818568163,53.1863470432;56.8812646971,53.1861125458"
60;63;512,323;"56.8811370855,53.1860620077;56.8801216154,53.1857032206;56.8793429501,53.1853933917;56.8786468791,53.1850876051;56.8783003359,53.1849588766;56.8777297597,53.1846624325;56.8772752658,53.1844385723;56.8770496612,53.1841903678;56.8768141768,53.1837940001;56.8767700588,53.1837197405"
60;2204;505,659;"56.8811370855,53.1860620077;56.8801216154,53.1857032206;56.8793429501,53.1853933917;56.8786468791,53.1850876051;56.8783003359,53.1849588766;56.8777297597,53.1846624325;56.8772752658,53.1844385723;56.8770496612,53.1841903678;56.8768141768,53.1837940001"
62;1175;470,592;"56.8762450133,53.183184614;56.87625434,53.1834239252;56.8765174527,53.1909133594"
63;1175;521,747;"56.8767700588,53.1837197405;56.8764312541,53.1833152291;56.87625434,53.1834239252;56.8765174527,53.1909133594"
63;1182;692,482;"56.8767700588,53.1837197405;56.8764312541,53.1833152291;56.8763088772,53.1797500852;56.8756098044,53.1798465643;56.8734948834,53.1800504818;56.8724453803,53.1801879241"
64;59;387,517;"56.8784216755,53.1937394593;56.881111023,53.193429271;56.8812666616,53.193155734;56.8813430328,53.1924261224;56.8813665429,53.1921204257"
65;1186;555,124;"56.8693175116,53.1851359345;56.8666149422,53.185416658;56.8665299482,53.1854005782;56.866447851,53.1853415589;56.8663957546,53.1851949538;56.8663663429,53.184910637;56.8663002524,53.1823303162;56.866281152,53.1815149154"
114;124;625,089;"56.8336802337,53.1260877844;56.8336870156,53.1269569943;56.8294686789,53.1277507457;56.8294793935,53.1279736177;56.8295567552,53.1293976271"
119;44;716,836;"56.8371243468,53.1137278568;56.837232871,53.1133698614;56.8372400739,53.113071998;56.8371699749,53.1127982133;56.8359288877,53.1114896696;56.8357135207,53.1111714117;56.8352793899,53.1106495287;56.8348147074,53.1102620361;56.8334819788,53.1088008493;56.8333742557,53.1088062654;56.8332655269,53.1089863579;56.8325767816,53.1110996634"
119;2206;726,092;"56.8371243468,53.1137278568;56.837232871,53.1133698614;56.8372400739,53.113071998;56.8371699749,53.1127982133;56.8359288877,53.1114896696;56.8357135207,53.1111714117;56.8352793899,53.1106495287;56.8348147074,53.1102620361;56.8334819788,53.1088008493;56.8333742557,53.1088062654;56.8332655269,53.1089863579;56.8325767816,53.1110996634;56.8325336262,53.1112297868"
120;1904;601,741;"56.8300498213,53.1391233273;56.8301814913,53.1419920074;56.8302108331,53.1426142704;56.8302659289,53.1432825271;56.8303405366,53.1443251118;56.8305900142,53.1472970981;56.8306640806,53.1481257041;56.8306816757,53.1483617814;56.8307319542,53.1489302353"
121;118;467,501;"56.8304108191,53.1430876825;56.8303399468,53.1422495544;56.8340617385,53.1415695297"
121;122;350,48;"56.8304108191,53.1430876825;56.8303399468,53.1422495544;56.8301202518,53.1373531072"
122;39;4374,97;"56.8301202518,53.1373531072;56.830002245,53.1354363719;56.8296183888,53.1279492733;56.8305252858,53.127809765;56.8316835971,53.1275231126;56.8338612315,53.127201336;56.833834104,53.1263417381;56.8337056904,53.1229688338;56.8337592575,53.1219975753;56.8341554064,53.1204687325;56.8345985809,53.1191491073;56.8348627239,53.1187415417;56.8356785328,53.118097809;56.8363129098,53.1162609966;56.8370613526,53.1166332855;56.8416085235,53.1191304224;56.8417083086,53.1191864008;56.8417468398,53.1189737885;56.8419085293,53.1185565007;56.8420856871,53.1180779292;56.8423656471,53.117691191;56.8434078598,53.1168669366;56.8437857068,53.1165880097;56.846822888,53.1142940853;56.8521723381,53.1101710726;56.8523490722,53.1100470145;56.8537355737,53.1093465105;56.8545348009,53.1089514045;56.8574969813,53.1074428799"
122;123;437,621;"56.8301202518,53.1373531072;56.830002245,53.1354363719;56.8298613344,53.1354149022;56.8297762078,53.1353129434;56.8281921489,53.1318050639;56.8280975226,53.1315957147"
122;125;676,038;"56.8301202518,53.1373531072;56.830002245,53.1354363719;56.8296183888,53.1279492733;56.8305252858,53.127809765"
122;2207;421,101;"56.8301202518,53.1373531072;56.830002245,53.1354363719;56.8298613344,53.1354149022;56.8297762078,53.1353129434;56.8281921489,53.1318050639"
124;120;594,227;"56.8295567552,53.1293976271;56.8298613344,53.1354149022;56.8299295535,53.1366753284;56.8300498213,53.1391233273"
